wavelength,Fe3+,Fe3+ - Bisabolol,Fe2+ - Bisabolol,Fe2+ - Bisabolol - CO
425,0.613842,0.461631,0.342281,0.476104
424,0.637883,0.478988,0.35295,0.519992
423,0.660448,0.494816,0.363892,0.565667
422,0.68031,0.509671,0.373875,0.608787
421,0.696361,0.522469,0.383185,0.64528
420,0.709449,0.534596,0.394372,0.671472
419,0.718059,0.543524,0.403945,0.683104
418,0.721669,0.551343,0.413401,0.67996
417,0.721151,0.556512,0.422056,0.661885
416,0.717195,0.559714,0.43101,0.632773
415,0.709178,0.562224,0.441026,0.594033
414,0.696858,0.56291,0.449806,0.554699
413,0.682858,0.563275,0.459101,0.512498
412,0.665367,0.561418,0.46753,0.470236
411,0.645272,0.55894,0.476098,0.43136
410,0.624615,0.557748,0.484594,0.397606
409,0.602992,0.5555,0.494013,0.367283
408,0.580605,0.55304,0.50255,0.340449
407,0.558422,0.551128,0.511509,0.317855
406,0.53735,0.550843,0.520559,0.298714
405,0.517052,0.550628,0.529537,0.282653
404,0.496877,0.549791,0.537531,0.268837
403,0.477602,0.549341,0.545543,0.258191
402,0.459207,0.549578,0.55357,0.249862
401,0.443042,0.550846,0.561217,0.243557
400,0.427072,0.551007,0.567266,0.238482
399,0.411751,0.550749,0.573178,0.234249
398,0.397443,0.550343,0.577406,0.231428
397,0.384571,0.549932,0.581465,0.229254
396,0.371333,0.547764,0.582993,0.225998
395,0.359257,0.545312,0.58347,0.223088
394,0.348576,0.542102,0.583422,0.220571
393,0.338299,0.538072,0.581979,0.218001
392,0.328158,0.532681,0.578071,0.214654
391,0.318716,0.526792,0.574597,0.213603
390,0.310077,0.519387,0.567821,0.21255
389,0.301795,0.511262,0.560851,0.212167
388,0.29455,0.502982,0.553357,0.213943
387,0.286784,0.493829,0.545511,0.217027
386,0.280014,0.484161,0.536022,0.219581
385,0.274314,0.474866,0.526513,0.224843
384,0.26987,0.466024,0.519178,0.231426
383,0.265751,0.456521,0.510375,0.23846
382,0.261295,0.447287,0.501387,0.246332
381,0.25819,0.437981,0.492752,0.254857
380,0.255624,0.429937,0.485748,0.263993
379,0.253315,0.421421,0.478969,0.273028
378,0.251983,0.413546,0.473625,0.283347
377,0.251534,0.40689,0.469313,0.293833
376,0.250337,0.399944,0.465525,0.302868
375,0.250027,0.392869,0.463849,0.313871
